# POINT3D_ID X Y Z R G B ERROR
209 -3.228102 3.250521 4.440974 255 255 255 0
210 -3.426293 3.112892 3.967785 255 255 255 0
211 -3.118467 3.154733 4.881595 255 255 255 0
212 -3.134424 3.274212 4.458847 255 255 255 0
213 -3.017556 3.164175 4.347355 255 255 255 0
214 -3.360245 3.237359 4.680925 255 255 255 0
215 -3.393692 3.336283 4.417216 255 255 255 0
216 -3.680017 3.123222 4.152483 255 255 255 0
217 -3.404355 3.081731 4.100658 255 255 255 0
218 -3.244624 3.219381 4.262953 255 255 255 0
219 -3.326701 3.225407 4.139213 255 255 255 0
220 -3.19189 3.233143 4.039729 255 255 255 0
221 -3.208745 3.229839 3.955896 255 255 255 0
222 -3.090891 3.304803 4.078255 255 255 255 0
223 -3.519858 3.125655 4.266036 255 255 255 0
224 -3.708294 3.175156 3.998545 255 255 255 0
225 -3.093627 3.210449 4.462605 255 255 255 0
226 -3.103307 3.350474 4.105003 255 255 255 0
227 -3.184347 3.139875 4.646238 255 255 255 0
228 -3.570388 3.133555 4.287232 255 255 255 0
229 -3.441473 3.31468 4.278057 255 255 255 0
230 -3.284685 3.387949 4.580124 255 255 255 0
231 -3.385151 3.181496 4.50246 255 255 255 0
232 -3.461507 3.164432 4.22471 255 255 255 0
233 -3.284547 3.028589 4.423463 255 255 255 0
234 -3.142126 3.245615 4.471324 255 255 255 0
235 -3.214107 3.028156 4.045081 255 255 255 0
236 -3.110601 3.146902 4.422674 255 255 255 0
237 -3.468688 3.190186 4.421522 255 255 255 0
238 -3.045536 3.144884 4.58954 255 255 255 0
239 -2.946781 3.26354 4.142853 255 255 255 0
240 -3.504267 3.216956 4.239176 255 255 255 0
241 -3.354677 3.162681 4.194781 255 255 255 0
242 -3.424791 2.928528 4.568859 255 255 255 0
243 -3.4861 3.111465 4.180492 255 255 255 0
244 -3.338759 3.146084 4.086205 255 255 255 0
245 -3.984543 3.131708 4.116092 255 255 255 0
246 -3.175438 3.09986 4.670725 255 255 255 0
247 -3.785901 3.233261 4.091627 255 255 255 0
248 -3.225392 3.244024 4.828515 255 255 255 0
249 -3.310534 3.326924 4.085432 255 255 255 0
250 -3.590719 3.14962 4.155669 255 255 255 0
251 -2.838645 3.176822 4.425736 255 255 255 0
252 -2.94631 3.14865 4.844563 255 255 255 0
253 -2.595377 3.111661 4.417596 255 255 255 0
254 -2.684135 3.257561 4.579951 255 255 255 0
255 -2.198348 3.218283 4.770518 255 255 255 0
256 -2.853465 3.277421 4.324553 255 255 255 0
257 -2.345547 3.241869 4.824132 255 255 255 0
258 -2.36052 3.123213 4.817444 255 255 255 0
259 -2.834579 3.166341 4.702385 255 255 255 0
260 -2.508669 3.397543 4.764799 255 255 255 0
261 -2.769711 3.262259 4.469648 255 255 255 0
262 -2.935232 3.005287 4.414951 255 255 255 0
263 -2.280807 3.191689 4.991413 255 255 255 0
264 -2.582999 3.27998 5.042408 255 255 255 0
265 -2.8439 3.199772 4.324931 255 255 255 0
266 -2.884205 3.176586 4.639282 255 255 255 0
267 -2.347364 3.212053 4.74061 255 255 255 0
268 -2.353055 3.225162 4.883708 255 255 255 0
269 -2.909713 3.332853 4.996515 255 255 255 0
270 -2.827104 3.110197 4.689326 255 255 255 0
271 -2.924083 3.164685 4.899899 255 255 255 0
272 -2.584395 3.225793 4.814315 255 255 255 0
273 -2.372306 3.195531 4.813981 255 255 255 0
274 -2.989874 3.23231 4.236235 255 255 255 0
275 -2.939472 3.275961 4.497771 255 255 255 0
276 -2.855317 3.21663 4.368464 255 255 255 0
277 -2.50897 2.960086 4.641827 255 255 255 0
278 -2.685533 3.300076 4.985117 255 255 255 0
279 -2.918111 3.314293 5.075833 255 255 255 0
280 -2.563547 3.289064 4.436749 255 255 255 0
281 -2.879351 3.296573 4.191256 255 255 255 0
