# IMAGE_ID QW QX QY QZ TX TY TZ CAMERA_ID NAME
56 0.03898212 0.3027669 0.1216034 0.9444709 -4.768372E-07 4.062651 -6.178071 1 frame_0055.png

57 0.0311504 0.2449968 0.1222236 0.9612844 -2.384186E-07 4.064761 -6.167212 1 frame_0056.png

58 0.02334102 0.1853992 0.1227099 0.9746921 2.384186E-07 4.065227 -6.162755 1 frame_0057.png

59 0.01548223 0.1238418 0.1230806 0.9845175 1.192093E-07 4.064032 -6.164917 1 frame_0058.png

60 0.007662608 0.0615247 0.1233526 0.9904243 5.960464E-08 4.061185 -6.173387 1 frame_0059.png

61 -0.0001111278 -0.0008925608 0.1235505 0.9923379 -9.313226E-10 4.056747 -6.187253 1 frame_0060.png

62 -0.007653122 -0.0612786 0.1236914 0.9903973 0 4.050982 -6.204815 1 frame_0061.png

63 -0.01564798 -0.1244265 0.1237929 0.9843518 0 4.043438 -6.226554 1 frame_0062.png

64 -0.02366881 -0.1862366 0.1238342 0.9743823 1.192093E-07 4.034591 -6.250407 1 frame_0063.png

65 -0.03193792 -0.2477907 0.1237793 0.9603429 -2.384186E-07 4.024394 -6.276265 1 frame_0064.png

66 -0.04044329 -0.3084257 0.1235649 0.9423214 0 4.013063 -6.303828 1 frame_0065.png

67 -0.04889075 -0.3657904 0.1231283 0.9212201 0 4.001242 -6.332265 1 frame_0066.png

68 -0.05763118 -0.42215 0.122372 0.8963779 2.384186E-07 3.988665 -6.363227 1 frame_0067.png

69 -0.06670669 -0.4775751 0.121189 0.8676322 -2.384186E-07 3.975439 -6.397629 1 frame_0068.png

70 -0.07621712 -0.5324819 0.1194464 0.8344978 -4.768372E-07 3.961566 -6.436759 1 frame_0069.png

71 -0.08627308 -0.587244 0.1169788 0.7962521 -5.960464E-07 3.947003 -6.482044 1 frame_0070.png

72 -0.09607902 -0.6375715 0.1139019 0.7558425 2.384186E-07 3.932974 -6.530203 1 frame_0071.png

73 -0.1059247 -0.6851501 0.1101063 0.712198 0 3.91908 -6.582212 1 frame_0072.png

74 0.1155509 0.7288072 -0.1056837 -0.6665726 -7.152557E-07 3.905662 -6.635812 1 frame_0073.png

75 0.1252266 0.7697519 -0.1005092 -0.6178174 4.768372E-07 3.892291 -6.691169 1 frame_0074.png

76 0.1345117 0.8061376 -0.09483938 -0.5683787 5.960464E-07 3.879497 -6.744191 1 frame_0075.png

77 0.1435505 0.8386784 -0.08863451 -0.5178376 -4.768372E-07 3.866989 -6.794224 1 frame_0076.png

78 0.1527941 0.8688918 -0.08154403 -0.463715 -2.384186E-07 3.854041 -6.842481 1 frame_0077.png

79 0.162162 0.8962607 -0.07349883 -0.4062242 0 3.840639 -6.887584 1 frame_0078.png

80 0.1715968 0.9204677 -0.06435063 -0.3451852 4.768372E-07 3.826733 -6.929169 1 frame_0079.png

81 0.1801941 0.9395447 -0.05484553 -0.2859685 -2.384186E-07 3.813589 -6.964625 1 frame_0080.png

82 0.1883669 0.9549273 -0.04439854 -0.2250787 2.384186E-07 3.800562 -6.997889 1 frame_0081.png

83 0.1960282 0.9666296 -0.03277878 -0.1616346 1.192093E-07 3.787744 -7.03125 1 frame_0082.png

84 0.2027935 0.9742107 -0.02016245 -0.09685949 0 3.775747 -7.066107 1 frame_0083.png

85 0.208227 0.9774798 -0.007141604 -0.03352483 -2.980232E-08 3.765383 -7.102729 1 frame_0084.png

86 0.2123401 0.9767353 0.006372572 0.02931296 0 3.756683 -7.142772 1 frame_0085.png

87 0.2151329 0.9718802 0.02069247 0.09347992 1.788139E-07 3.74959 -7.188148 1 frame_0086.png

88 0.2164555 0.9626849 0.035633 0.1584776 1.192093E-07 3.744284 -7.238769 1 frame_0087.png

89 0.2162974 0.9498714 0.05012139 0.2201084 1.192093E-07 3.740859 -7.290439 1 frame_0088.png

90 0.2148712 0.933623 0.06429517 0.2793648 -2.384186E-07 3.738741 -7.342182 1 frame_0089.png

91 0.2123727 0.9142221 0.07808767 0.3361519 0 3.737357 -7.391837 1 frame_0090.png

92 0.2090134 0.8920756 0.09139547 0.3900787 -4.768372E-07 3.736113 -7.436902 1 frame_0091.png

93 0.2046906 0.8658567 0.1050233 0.4442567 2.384186E-07 3.734349 -7.477702 1 frame_0092.png

94 0.1997702 0.8374045 0.1180583 0.4948817 2.384186E-07 3.731705 -7.509598 1 frame_0093.png

95 0.1943415 0.8070579 0.130534 0.5420791 5.960464E-07 3.727986 -7.53241 1 frame_0094.png

96 0.1879972 0.7727837 0.1432896 0.5890082 8.34465E-07 3.722876 -7.547702 1 frame_0095.png

97 0.1805324 0.7341139 0.156318 0.6356489 1.66893E-06 3.716414 -7.555721 1 frame_0096.png

98 0.1722664 0.6933769 0.1687038 0.6790375 1.087785E-06 3.709419 -7.557699 1 frame_0097.png

99 0.1631878 0.6509602 0.1802727 0.7191122 -3.576279E-07 3.70256 -7.556254 1 frame_0098.png

100 0.1525808 0.604009 0.1915849 0.7584112 0 3.696068 -7.553535 1 frame_0099.png

101 0.1405406 0.5533755 0.2020908 0.795728 -9.536743E-07 3.690847 -7.551623 1 frame_0100.png

102 0.1275387 0.5009988 0.2111755 0.8295415 9.536743E-07 3.687653 -7.552179 1 frame_0101.png

103 0.1127494 0.4433288 0.2191783 0.8618051 0 3.686728 -7.556329 1 frame_0102.png

104 0.09753755 0.3851877 0.2252632 0.8895918 7.152557E-07 3.688259 -7.56392 1 frame_0103.png

